 system light,no eclipses                                                
       0.0000000E+00       0.9979941E+00 1.00
       0.3188881E-02       0.9980107E+00 1.00
       0.6377761E-02       0.9980359E+00 1.00
       0.9566642E-02       0.9980532E+00 1.00
       0.1275552E-01       0.9980524E+00 1.00
       0.1594440E-01       0.9980414E+00 1.00
       0.1913328E-01       0.9980321E+00 1.00
       0.2232216E-01       0.9980427E+00 1.00
       0.2551105E-01       0.9980727E+00 1.00
       0.5357216E-01       0.9982716E+00 1.00
       0.8163328E-01       0.9985039E+00 1.00
       0.1096944E+00       0.9988678E+00 1.00
       0.1377555E+00       0.9992369E+00 1.00
       0.1658166E+00       0.9995282E+00 1.00
       0.1938778E+00       0.9998284E+00 1.00
       0.2219389E+00       0.9999959E+00 1.00
       0.2500000E+00       0.1000000E+01 1.00
       0.2780611E+00       0.9999671E+00 1.00
       0.3061222E+00       0.9997805E+00 1.00
       0.3341834E+00       0.9994779E+00 1.00
       0.3622445E+00       0.9992033E+00 1.00
       0.3903056E+00       0.9988663E+00 1.00
       0.4183667E+00       0.9985425E+00 1.00
       0.4464278E+00       0.9983484E+00 1.00
       0.4744890E+00       0.9981761E+00 1.00
       0.4776778E+00       0.9981481E+00 1.00
       0.4808667E+00       0.9981391E+00 1.00
       0.4840556E+00       0.9981499E+00 1.00
       0.4872445E+00       0.9981621E+00 1.00
       0.4904334E+00       0.9981638E+00 1.00
       0.4936222E+00       0.9981472E+00 1.00
       0.4968111E+00       0.9981225E+00 1.00
       0.5000000E+00       0.9981060E+00 1.00
       0.5031889E+00       0.9981225E+00 1.00
       0.5063778E+00       0.9981472E+00 1.00
       0.5095666E+00       0.9981638E+00 1.00
       0.5127555E+00       0.9981621E+00 1.00
       0.5159444E+00       0.9981499E+00 1.00
       0.5191333E+00       0.9981391E+00 1.00
       0.5223222E+00       0.9981481E+00 1.00
       0.5255110E+00       0.9981761E+00 1.00
       0.5535722E+00       0.9983484E+00 1.00
       0.5816333E+00       0.9985425E+00 1.00
       0.6096944E+00       0.9988663E+00 1.00
       0.6377555E+00       0.9992033E+00 1.00
       0.6658166E+00       0.9994779E+00 1.00
       0.6938778E+00       0.9997805E+00 1.00
       0.7219389E+00       0.9999671E+00 1.00
      -0.2500000E+00       0.1000000E+01 1.00
      -0.2219389E+00       0.9999959E+00 1.00
      -0.1938778E+00       0.9998284E+00 1.00
      -0.1658166E+00       0.9995282E+00 1.00
      -0.1377555E+00       0.9992369E+00 1.00
      -0.1096944E+00       0.9988678E+00 1.00
      -0.8163328E-01       0.9985039E+00 1.00
      -0.5357216E-01       0.9982716E+00 1.00
      -0.2551105E-01       0.9980727E+00 1.00
      -0.2232216E-01       0.9980427E+00 1.00
      -0.1913328E-01       0.9980321E+00 1.00
      -0.1594440E-01       0.9980414E+00 1.00
      -0.1275552E-01       0.9980524E+00 1.00
      -0.9566642E-02       0.9980532E+00 1.00
      -0.6377761E-02       0.9980359E+00 1.00
      -0.3188881E-02       0.9980107E+00 1.00
       0.6594725E-13       0.9979941E+00 1.00
                 0.0                 0.0
